-1.0149436427f, -0.4710699127f, +0.1370248741f, -0.2918633758f, +0.3018185553f, +0.3999309430f, -0.9299615589f, -0.1768302659f,
-1.2832561046f, -2.3289545163f, +0.9019314670f, -1.8356386837f, +0.0667569114f, +0.0354794858f, +2.2271680782f, -0.0692142540f,
-0.5073230646f, +0.2358096726f, +0.2458048519f, +0.0700452094f, -0.6085805101f, -1.2225933802f, +0.3165003608f, -1.3428692366f,
-1.0321843441f, +1.3312158851f, -0.4189031950f, -0.1403217221f, +0.8998223289f, -0.3001110056f, +1.0293657121f, -0.3450659716f,
+1.0128018643f, +0.6293345849f, -0.2130150826f, -0.8656973084f, -1.0431083013f, -0.2700688126f, -0.4381413556f, -0.4086743148f,
+0.9835452352f, -0.2976971440f, +1.1436789108f, -0.5316201175f, +0.9725657280f, -0.5222504850f, +0.1765777946f, +0.9707378236f,
-0.4139722750f, -0.4382705182f, +2.0033906109f, +0.9509934995f, -0.4320038437f, +0.6489407374f, -0.3600763012f, +0.7058850193f,
+1.4158490684f, -1.6045156686f, +1.0288530690f, +1.4579677807f, +0.0474713233f, +1.7462567101f, +0.1553875142f, -1.2371196847f,
-2.1934942788f, -0.3334070673f, +0.7135433026f, +0.3174077332f, +0.4136103903f, -0.5770855836f, +0.1440018014f, -1.6386657299f,
-0.7600899986f, -0.8187930963f, +0.5197288881f, -0.0141600591f, -1.1555293683f, -0.0095249161f, -0.6898105376f, -0.6666991536f,
+0.8641494212f, +0.1134194362f, +0.3983628462f, +0.8839698902f, +0.1802576940f, +0.5508545221f, +0.6829642761f, +1.1706086600f,
+0.4758605873f, +1.4122326864f, +0.0226084843f, -0.0478694102f, +1.7013346543f, -0.5097117128f, -0.0028549601f, +0.9198670798f,
+0.1498087326f, +1.4049334457f, +1.0341215396f, +0.2915702888f, -0.7776985383f, +0.5666960975f, -1.3826211595f, +0.2444746756f,
+0.8084388032f, +0.2130416984f, +0.8796771642f, +2.0388762514f, +0.9239324487f, +0.2669174466f, +0.6416615064f, +0.4254853556f,
-1.3147235035f, -0.4164112197f, +1.2246878248f, -0.0435842055f, +0.5824232774f, -1.0065000746f, +0.0645167423f, +0.6002919492f,
-1.3615149549f, +0.3475926320f, -0.1818432185f, -0.9395347659f, -0.0375331888f, -1.8963044936f, -2.1279767682f, -1.1769233307f
